Доп. объявление группы	Название группы	Номер группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Заголовок 3	Заголовок 4	Текст 1	Текст 2	Текст 3	Ссылка	Минус-фразы на кампанию	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
-	Проекторы и мультимедиа	8	поставка проекторов для организаций	Проекторы и мультимедиа для организаций	Оборудование для учебных классов — Лигус	Подбор техники для занятий и презентаций	Комплект мультимедиа под ваше помещение	Подберём проектор, экран и звук под помещение. Подготовим предложение.	Поможем сформировать требования и собрать совместимый комплект техники.	Оснащение классов и переговорных. Обсудим задачи, бюджет и сроки.	https://ligus-msk.ru/production/electronics/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Проекторы и мультимедиа	8	мультимедийное оборудование для учреждений	Проекторы и мультимедиа для организаций	Оборудование для учебных классов — Лигус	Подбор техники для занятий и презентаций	Комплект мультимедиа под ваше помещение	Подберём проектор, экран и звук под помещение. Подготовим предложение.	Поможем сформировать требования и собрать совместимый комплект техники.	Оснащение классов и переговорных. Обсудим задачи, бюджет и сроки.	https://ligus-msk.ru/production/electronics/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Проекторы и мультимедиа	8	оснащение переговорных оборудованием	Проекторы и мультимедиа для организаций	Оборудование для учебных классов — Лигус	Подбор техники для занятий и презентаций	Комплект мультимедиа под ваше помещение	Подберём проектор, экран и звук под помещение. Подготовим предложение.	Поможем сформировать требования и собрать совместимый комплект техники.	Оснащение классов и переговорных. Обсудим задачи, бюджет и сроки.	https://ligus-msk.ru/production/electronics/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Проекторы и мультимедиа	8	проектор для учебного класса купить	Проекторы и мультимедиа для организаций	Оборудование для учебных классов — Лигус	Подбор техники для занятий и презентаций	Комплект мультимедиа под ваше помещение	Подберём проектор, экран и звук под помещение. Подготовим предложение.	Поможем сформировать требования и собрать совместимый комплект техники.	Оснащение классов и переговорных. Обсудим задачи, бюджет и сроки.	https://ligus-msk.ru/production/electronics/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российская техника	9	российская техника для госучреждений	Российская техника для организаций	Техника из реестра — помощь с подбором	Подберём оборудование под условия закупки	Лигус — российская техника и спецификация	Проверим конкретные модели и реестровые записи. Поможем сформировать ТЗ.	Ноутбуки, компьютеры и оргтехника. Подбор для учреждений и бизнеса.	Обсудим требования закупки, состав техники и условия поставки.	https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российская техника	9	поставщик техники из реестра минпромторга	Российская техника для организаций	Техника из реестра — помощь с подбором	Подберём оборудование под условия закупки	Лигус — российская техника и спецификация	Проверим конкретные модели и реестровые записи. Поможем сформировать ТЗ.	Ноутбуки, компьютеры и оргтехника. Подбор для учреждений и бизнеса.	Обсудим требования закупки, состав техники и условия поставки.	https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российская техника	9	оборудование из реестра минпромторга купить	Российская техника для организаций	Техника из реестра — помощь с подбором	Подберём оборудование под условия закупки	Лигус — российская техника и спецификация	Проверим конкретные модели и реестровые записи. Поможем сформировать ТЗ.	Ноутбуки, компьютеры и оргтехника. Подбор для учреждений и бизнеса.	Обсудим требования закупки, состав техники и условия поставки.	https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российская техника	9	российская компьютерная техника для организаций	Российская техника для организаций	Техника из реестра — помощь с подбором	Подберём оборудование под условия закупки	Лигус — российская техника и спецификация	Проверим конкретные модели и реестровые записи. Поможем сформировать ТЗ.	Ноутбуки, компьютеры и оргтехника. Подбор для учреждений и бизнеса.	Обсудим требования закупки, состав техники и условия поставки.	https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российская техника	9	подбор техники для госзакупок	Российская техника для организаций	Техника из реестра — помощь с подбором	Подберём оборудование под условия закупки	Лигус — российская техника и спецификация	Проверим конкретные модели и реестровые записи. Поможем сформировать ТЗ.	Ноутбуки, компьютеры и оргтехника. Подбор для учреждений и бизнеса.	Обсудим требования закупки, состав техники и условия поставки.	https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Комплексное оснащение	10	комплексное оснащение учреждений техникой	Комплексное оснащение учреждений техникой	Техника для всего объекта — подбор и поставка	Комплектация рабочих мест от Лигус	Поможем составить перечень оборудования	Компьютеры, оргтехника и мультимедиа в одной спецификации. Обсудим ваш объект.	От количества помещений до состава техники. Помощь с ТЗ и расчётом поставки.	Подбор оборудования для школ, офисов и учреждений. Россия и СНГ.	https://ligus-msk.ru/production/complex/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Комплексное оснащение	10	оснащение школы компьютерной техникой	Комплексное оснащение учреждений техникой	Техника для всего объекта — подбор и поставка	Комплектация рабочих мест от Лигус	Поможем составить перечень оборудования	Компьютеры, оргтехника и мультимедиа в одной спецификации. Обсудим ваш объект.	От количества помещений до состава техники. Помощь с ТЗ и расчётом поставки.	Подбор оборудования для школ, офисов и учреждений. Россия и СНГ.	https://ligus-msk.ru/production/complex/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Комплексное оснащение	10	комплексная поставка оборудования для организаций	Комплексное оснащение учреждений техникой	Техника для всего объекта — подбор и поставка	Комплектация рабочих мест от Лигус	Поможем составить перечень оборудования	Компьютеры, оргтехника и мультимедиа в одной спецификации. Обсудим ваш объект.	От количества помещений до состава техники. Помощь с ТЗ и расчётом поставки.	Подбор оборудования для школ, офисов и учреждений. Россия и СНГ.	https://ligus-msk.ru/production/complex/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Комплексное оснащение	10	оснащение офиса техникой	Комплексное оснащение учреждений техникой	Техника для всего объекта — подбор и поставка	Комплектация рабочих мест от Лигус	Поможем составить перечень оборудования	Компьютеры, оргтехника и мультимедиа в одной спецификации. Обсудим ваш объект.	От количества помещений до состава техники. Помощь с ТЗ и расчётом поставки.	Подбор оборудования для школ, офисов и учреждений. Россия и СНГ.	https://ligus-msk.ru/production/complex/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Комплексное оснащение	10	комплектация рабочих мест для организаций	Комплексное оснащение учреждений техникой	Техника для всего объекта — подбор и поставка	Комплектация рабочих мест от Лигус	Поможем составить перечень оборудования	Компьютеры, оргтехника и мультимедиа в одной спецификации. Обсудим ваш объект.	От количества помещений до состава техники. Помощь с ТЗ и расчётом поставки.	Подбор оборудования для школ, офисов и учреждений. Россия и СНГ.	https://ligus-msk.ru/production/complex/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Комплексное оснащение	10	оснащение мфц оборудованием	Комплексное оснащение учреждений техникой	Техника для всего объекта — подбор и поставка	Комплектация рабочих мест от Лигус	Поможем составить перечень оборудования	Компьютеры, оргтехника и мультимедиа в одной спецификации. Обсудим ваш объект.	От количества помещений до состава техники. Помощь с ТЗ и расчётом поставки.	Подбор оборудования для школ, офисов и учреждений. Россия и СНГ.	https://ligus-msk.ru/production/complex/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
